Year,Country,Value
2011,Slovenia,16.0
2011,Spain,16.8
2011,Sweden,15.0
2011,UnitedKingdom,15.4
2012,Austria,15.4
2012,Belgium,18.3
2012,Bulgaria,14.3
2012,Cyprus,13.6
2012,Czechia,15.6
2012,Denmark,18.0
2012,Estonia,15.6
2012,Finland,16.5
2012,France,14.9
2012,Germany,17.1
2012,Greece,16.6
2012,Hungary,14.9
2012,Ireland,18.6
2012,Italy,16.0
2012,Latvia,14.6
2012,Lithuania,16.1
2012,Luxembourg,13.7
2012,Malta,14.7
2012,Netherlands,17.7
2012,Poland,14.5
2012,Portugal,16.1
2012,Romania,14.1
2012,Slovakia,14.4
2012,Slovenia,16.2
2012,Spain,17.1
2012,Sweden,15.0
2012,UnitedKingdom,15.4
2013,Austria,15.6
2013,Belgium,18.4
2013,Bulgaria,14.7
2013,Cyprus,13.7
2013,Czechia,15.9
2013,Denmark,18.5
2013,Estonia,15.6
2013,Finland,18.5
2013,France,15.1
2013,Germany,16.9
2013,Greece,16.8
2013,Hungary,15.2
2013,Ireland,18.6
2013,Italy,15.9
2013,Latvia,15.1
2013,Lithuania,16.2
2013,Luxembourg,13.7
2013,Malta,14.8
2013,Netherlands,17.8
2013,Poland,15.4
2013,Portugal,16.7
2013,Romania,14.1
2013,Slovakia,14.4
2013,Slovenia,16.9
2013,Spain,17.2
2013,Sweden,17.2
2013,UnitedKingdom,17.2
2014,Austria,15.6
2014,Belgium,18.7
2014,Bulgaria,14.9
2014,Cyprus,13.9
2014,Czechia,16.1
2014,Denmark,18.3
2014,Estonia,15.4
2014,Finland,18.5
2014,France,15.2
2014,Germany,17.0
2014,Greece,17.5
2014,Hungary,15.0
2014,Ireland,18.7
2014,Italy,15.9
2014,Latvia,15.1
2014,Lithuania,16.1
2014,Luxembourg,13.7
2014,Malta,15.0
2014,Netherlands,17.8
2014,Poland,15.2
2014,Portugal,16.5
2014,Romania,14.2
2014,Slovakia,14.3
2014,Slovenia,16.6
2014,Spain,17.3
2014,Sweden,17.4
2014,UnitedKingdom,17.4
2015,Austria,15.6
2015,Belgium,18.8
2015,Bulgaria,14.8
2015,Cyprus,14.1
2015,Czechia,16.1
2015,Denmark,18.4
2015,Estonia,15.3
2015,Finland,18.5
2015,France,15.1
2015,Germany,17.0
2015,Greece,17.5
2015,Hungary,14.9
2015,Ireland,19.5
2015,Italy,15.9
2015,Latvia,15.1
2015,Lithuania,16.1
2015,Luxembourg,13.9
2015,Malta,15.1
2015,Netherlands,17.8
2015,Poland,15.4
2015,Portugal,16.5
2015,Romania,14.2
2015,Slovakia,14.4
2015,Slovenia,16.5
2015,Spain,17.5
2015,Sweden,17.8
2015,UnitedKingdom,17.0
2016,Austria,15.8
2016,Belgium,18.8
2016,Bulgaria,14.8
2016,Cyprus,14.2
2016,Czechia,16.2
2016,Denmark,18.4
2016,Estonia,15.3
2016,Finland,18.5
2016,France,15.1
2016,Germany,17.0
2016,Greece,17.5
2016,Hungary,14.8
2016,Ireland,19.5
2016,Italy,15.9
2016,Latvia,15.1
2016,Lithuania,16.0
2016,Luxembourg,13.9
2016,Malta,15.4
2016,Netherlands,17.8
2016,Poland,15.6
2016,Portugal,16.5
2016,Romania,13.9
2016,Slovakia,14.4
2016,Slovenia,16.5
2016,Spain,17.5
2016,Sweden,18.1
2016,UnitedKingdom,17.1
2017,Austria,15.8
2017,Belgium,18.8
2017,Bulgaria,14.6
2017,Cyprus,14.3
2017,Czechia,16.1
2017,Denmark,18.4
2017,Estonia,15.3
2017,Finland,18.5
2017,France,15.1,15.2
2017,Germany,17.0
2017,Greece,17.5
2017,Hungary,14.
2017,Ireland,19.5
2017,Italy,15.9
2017,Latvia,15.1
2017,Lithuania,16.0
2017,Luxembourg,13.9
2017,Malta,15.4
2017,Netherlands,17.8
2017,Poland,15.6
2017,Portugal,16.4
2017,Romania,13.9
2017,Slovakia,14.4
2017,Slovenia,16.5
2017,Spain,17.5
2017,Sweden,18.1
2017,UnitedKingdom,17.1
2018,Austria,16.0
2018,Belgium,18.8
2018,Bulgaria,14.6
2018,Cyprus,14.3
2018,Czechia,16.1
2018,Denmark,18.4
2018,Estonia,15.3
2018,Finland,18.5
2018,France,15.2
2018,Germany,17.2
2018,Greece,17.5
2018,Hungary,14.8
2018,Ireland,18.7
2018,Italy,15.9
2018,Latvia,15.3
2018,Lithuania,16.1
2018,Luxembourg,14.1
2018,Malta,15.4
2018,Netherlands,17.8
2018,Poland,15.6
2018,Portugal,16.4
2018,Romania,13.9
2018,Slovakia,14.1
2018,Slovenia,16.7
2018,Spain,17.5
2018,Sweden,18.0
2018,UnitedKingdom,17.1
